5.00000000000000e+04	5.20265010209469e+02     2.51969180512149e+01
5.01152619038950e+04	5.20355954380506e+02     2.52261652698127e+01
5.02307895139198e+04	5.20447291381422e+02     2.52552730330805e+01
5.03465834425902e+04	5.20539022732760e+02     2.52842395108282e+01
5.04626443038342e+04	5.20631149958756e+02     2.53130628574322e+01
5.05789727129949e+04	5.20723674587323e+02     2.53417412117158e+01
5.06955692868340e+04	5.20816598150025e+02     2.53702726968281e+01
5.08124346435348e+04	5.20909922182055e+02     2.53986554201217e+01
5.09295694027058e+04	5.21003648222211e+02     2.54268874730306e+01
5.10469741853840e+04	5.21097777812869e+02     2.54549669309458e+01
5.11646496140377e+04	5.21192312499961e+02     2.54828918530906e+01
5.12825963125704e+04	5.21287253832946e+02     2.55106602823953e+01
5.14008149063237e+04	5.21382603364784e+02     2.55382702453706e+01
5.15193060220808e+04	5.21478362651911e+02     2.55657197519796e+01
5.16380702880699e+04	5.21574533254207e+02     2.55930067955098e+01
5.17571083339672e+04	5.21671116734972e+02     2.56201293524435e+01
5.18764207909006e+04	5.21768114660891e+02     2.56470853823271e+01
5.19960082914530e+04	5.21865528602011e+02     2.56738728276402e+01
5.21158714696652e+04	5.21963360131702e+02     2.57004896136626e+01
5.22360109610400e+04	5.22061610826634e+02     2.57269336483416e+01
5.23564274025450e+04	5.22160282266738e+02     2.57532028221570e+01
5.24771214326161e+04	5.22259376035176e+02     2.57792950079860e+01
5.25980936911611e+04	5.22358893718308e+02     2.58052080609670e+01
5.27193448195629e+04	5.22458836905656e+02     2.58309398183619e+01
5.28408754606829e+04	5.22559207189870e+02     2.58564880994175e+01
5.29626862588644e+04	5.22660006166691e+02     2.58818507052267e+01
5.30847778599362e+04	5.22761235434914e+02     2.59070254185873e+01
5.32071509112158e+04	5.22862896596352e+02     2.59320100038609e+01
5.33298060615129e+04	5.22964991255795e+02     2.59568022068301e+01
5.34527439611329e+04	5.23067521020975e+02     2.59813997545549e+01
5.35759652618803e+04	5.23170487502521e+02     2.60058003552280e+01
5.36994706170622e+04	5.23273892313920e+02     2.60300016980290e+01
5.38232606814917e+04	5.23377737071477e+02     2.60540014529776e+01
5.39473361114914e+04	5.23482023394271e+02     2.60777972707856e+01
5.40716975648969e+04	5.23586752904108e+02     2.61013867827076e+01
5.41963457010602e+04	5.23691927225484e+02     2.61247676003914e+01
