0.000000000000000e+00	-2.753966e+02
7.751711452357958e-09	-2.738679e+02
2.325513435707430e-08	-2.705715e+02
5.426198016650698e-08	-2.630366e+02
9.426198016650702e-08	-2.516438e+02
1.342619801665071e-07	-2.382737e+02
1.742619801665071e-07	-2.228534e+02
2.142619801665071e-07	-2.054610e+02
2.542619801665072e-07	-1.862103e+02
2.942619801665072e-07	-1.652509e+02
3.342619801665073e-07	-1.427671e+02
3.742619801665073e-07	-1.189740e+02
4.142619801665073e-07	-9.411215e+01
4.542619801665074e-07	-6.844043e+01
4.942619801665074e-07	-4.222858e+01
5.342619801665075e-07	-1.574921e+01
5.742619801665075e-07	1.072973e+01
6.142619801665075e-07	3.695150e+01
6.542619801665076e-07	6.267599e+01
6.942619801665076e-07	8.768345e+01
7.342619801665077e-07	1.117767e+02
7.742619801665077e-07	1.347818e+02
8.142619801665077e-07	1.565472e+02
8.542619801665078e-07	1.769423e+02
8.942619801665078e-07	1.958547e+02
9.342619801665079e-07	2.131879e+02
9.742619801665079e-07	2.291130e+02
9.909999999999999e-07	2.353176e+02
9.975239603330159e-07	2.376005e+02
1.013571880999048e-06	2.430203e+02
1.031000000000000e-06	2.485568e+02
1.032000000000000e-06	2.488639e+02
1.032600000000000e-06	2.490475e+02
1.033240000000000e-06	2.492428e+02
1.034520000000000e-06	2.496317e+02
1.037080000000000e-06	2.504029e+02
1.046824931003430e-06	2.532816e+02
1.047922341564193e-06	2.535986e+02
1.048196694204384e-06	2.536777e+02
1.048265282364432e-06	2.536975e+02
1.048282429404443e-06	2.537024e+02
1.048316723484467e-06	2.537123e+02
1.048325297004473e-06	2.537147e+02
1.048327440384475e-06	2.537154e+02
1.048331727144478e-06	2.537166e+02
1.048340300664484e-06	2.537190e+02
1.048342444044485e-06	2.537197e+02
1.048346730804488e-06	2.537209e+02
1.048355304324494e-06	2.537234e+02
1.048372451364506e-06	2.537283e+02
1.048406745444530e-06	2.537382e+02
1.048459737601961e-06	2.537534e+02
1.048543926547628e-06	2.537776e+02
1.048634299072820e-06	2.538036e+02
1.048815044123204e-06	2.538555e+02
1.049547900483958e-06	2.540656e+02
1.050392320086320e-06	2.543067e+02
1.052081159291043e-06	2.547857e+02
1.055458837700490e-06	2.557339e+02
