0.000000000000000e+00	1.168064e-03	0.000000e+00	5.625315e-04
7.754642544933304e-09	1.133819e-03	0.000000e+00	5.476705e-04
2.326392763480033e-08	1.061134e-03	0.000000e+00	5.153270e-04
5.428249781453397e-08	9.054267e-04	0.000000e+00	4.465650e-04
9.428249781453401e-08	6.981109e-04	0.000000e+00	3.564465e-04
1.342824978145341e-07	4.984586e-04	0.000000e+00	2.711414e-04
1.742824978145341e-07	3.233834e-04	0.000000e+00	1.977598e-04
2.142824978145341e-07	1.864071e-04	0.000000e+00	1.417647e-04
2.542824978145342e-07	9.593018e-05	0.000000e+00	1.064245e-04
2.942824978145342e-07	5.527796e-05	0.000000e+00	9.279249e-05
3.342824978145343e-07	6.269500e-05	0.000000e+00	9.971179e-05
3.742824978145343e-07	1.121343e-04	0.000000e+00	1.242854e-04
4.142824978145343e-07	1.953212e-04	0.000000e+00	1.628496e-04
4.542824978145344e-07	3.040292e-04	0.000000e+00	2.119037e-04
4.942824978145344e-07	4.310748e-04	0.000000e+00	2.684300e-04
5.342824978145345e-07	5.702532e-04	0.000000e+00	3.298539e-04
5.742824978145345e-07	7.161494e-04	0.000000e+00	3.938635e-04
6.142824978145345e-07	8.634934e-04	0.000000e+00	4.581203e-04
6.542824978145346e-07	1.006890e-03	0.000000e+00	5.203043e-04
6.942824978145346e-07	1.141263e-03	0.000000e+00	5.782543e-04
7.342824978145347e-07	1.261993e-03	0.000000e+00	6.299923e-04
7.742824978145347e-07	1.364994e-03	0.000000e+00	6.737831e-04
8.142824978145347e-07	1.446858e-03	0.000000e+00	7.081839e-04
8.542824978145348e-07	1.504916e-03	0.000000e+00	7.320739e-04
8.942824978145348e-07	1.537275e-03	0.000000e+00	7.446666e-04
9.342824978145349e-07	1.542812e-03	0.000000e+00	7.455049e-04
9.742824978145349e-07	1.525040e-03	0.000000e+00	7.361506e-04
9.909999999999999e-07	1.510223e-03	0.000000e+00	7.290170e-04
9.975649956290699e-07	1.502276e-03	0.000000e+00	7.252910e-04
1.013694986887210e-06	1.479794e-03	0.000000e+00	7.148489e-04
1.031000000000000e-06	1.450621e-03	0.000000e+00	7.014335e-04
1.032000000000000e-06	1.448786e-03	0.000000e+00	7.006047e-04
1.032600000000000e-06	1.447675e-03	0.000000e+00	7.000821e-04
1.033240000000000e-06	1.446482e-03	0.000000e+00	6.995346e-04
1.034520000000000e-06	1.444072e-03	0.000000e+00	6.984327e-04
1.037080000000000e-06	1.439159e-03	0.000000e+00	6.961876e-04
1.046824931003430e-06	1.419668e-03	0.000000e+00	6.873010e-04
1.047922341564193e-06	1.417374e-03	0.000000e+00	6.862498e-04
1.048196694204384e-06	1.416798e-03	0.000000e+00	6.859722e-04
1.048265282364432e-06	1.416654e-03	0.000000e+00	6.858601e-04
1.048282429404443e-06	1.416618e-03	0.000000e+00	6.857381e-04
1.048316723484467e-06	1.416546e-03	0.000000e+00	6.851685e-04
1.048325297004473e-06	1.416527e-03	0.000000e+00	6.848922e-04
1.048327440384475e-06	1.416523e-03	0.000000e+00	6.847911e-04
1.048331727144478e-06	1.416514e-03	0.000000e+00	6.845384e-04
