0.000000000000000e+00	7.485023e+01	3.244106e+00
7.754642544933304e-09	7.488864e+01	3.244199e+00
2.326392763480033e-08	7.496142e+01	3.244415e+00
5.428249781453397e-08	7.509043e+01	3.244955e+00
9.428249781453401e-08	7.522678e+01	3.245811e+00
1.342824978145341e-07	7.532808e+01	3.246817e+00
1.742824978145341e-07	7.539568e+01	3.247939e+00
2.142824978145341e-07	7.543578e+01	3.249137e+00
2.542824978145342e-07	7.545644e+01	3.250379e+00
2.942824978145342e-07	7.546671e+01	3.251638e+00
3.342824978145343e-07	7.547556e+01	3.252889e+00
3.742824978145343e-07	7.549116e+01	3.254110e+00
4.142824978145343e-07	7.552023e+01	3.255282e+00
4.542824978145344e-07	7.556799e+01	3.256383e+00
4.942824978145344e-07	7.563831e+01	3.257395e+00
5.342824978145345e-07	7.573385e+01	3.258297e+00
5.742824978145345e-07	7.585625e+01	3.259072e+00
6.142824978145345e-07	7.600623e+01	3.259701e+00
6.542824978145346e-07	7.618348e+01	3.260169e+00
6.942824978145346e-07	7.638679e+01	3.260457e+00
7.342824978145347e-07	7.661404e+01	3.260553e+00
7.742824978145347e-07	7.686234e+01	3.260444e+00
8.142824978145347e-07	7.712804e+01	3.260120e+00
8.542824978145348e-07	7.740697e+01	3.259574e+00
8.942824978145348e-07	7.769446e+01	3.258801e+00
9.342824978145349e-07	7.798554e+01	3.257800e+00
9.742824978145349e-07	7.827621e+01	3.256603e+00
9.909999999999999e-07	7.839660e+01	3.256042e+00
9.975649956290699e-07	7.844332e+01	3.255804e+00
1.013694986887210e-06	7.855704e+01	3.255195e+00
1.031000000000000e-06	7.867677e+01	3.254500e+00
1.032000000000000e-06	7.868361e+01	3.254459e+00
1.032600000000000e-06	7.868771e+01	3.254434e+00
1.033240000000000e-06	7.869209e+01	3.254407e+00
1.034520000000000e-06	7.870081e+01	3.254354e+00
1.037080000000000e-06	7.871820e+01	3.254246e+00
1.046824931003430e-06	7.878394e+01	3.253830e+00
1.047922341564193e-06	7.879128e+01	3.253782e+00
1.048196694204384e-06	7.879311e+01	3.253770e+00
1.048265282364432e-06	7.879357e+01	3.253767e+00
1.048282429404443e-06	7.879369e+01	3.253767e+00
1.048316723484467e-06	7.879391e+01	3.253765e+00
1.048325297004473e-06	7.879398e+01	3.253765e+00
1.048327440384475e-06	7.879399e+01	3.253765e+00
1.048331727144478e-06	7.879402e+01	3.253764e+00
1.048340300664484e-06	7.879408e+01	3.253764e+00
1.048342444044485e-06	7.879409e+01	3.253764e+00
1.048346730804488e-06	7.879412e+01	3.253764e+00
1.048355304324494e-06	7.879417e+01	3.253763e+00
1.048372451364506e-06	7.879429e+01	3.253762e+00
1.048406745444530e-06	7.879451e+01	3.253761e+00
1.048459738577628e-06	7.879485e+01	3.253759e+00
1.048543928532514e-06	7.879541e+01	3.253755e+00
1.048634302201107e-06	7.879602e+01	3.253751e+00
1.048815049538292e-06	7.879723e+01	3.253743e+00
1.049547579611898e-06	7.880212e+01	3.253711e+00
1.050391325509407e-06	7.880774e+01	3.253674e+00
1.052078817304425e-06	7.881895e+01	3.253600e+00
1.055453800894461e-06	7.884131e+01	3.253450e+00
1.059711184593628e-06	7.886937e+01	3.253260e+00
1.063867154289998e-06	7.889659e+01	3.253072e+00
1.067757714803134e-06	7.892194e+01	3.252894e+00
1.070226174914427e-06	7.893799e+01	3.252779e+00
1.072499637291735e-06	7.895276e+01	3.252673e+00
1.074170730860015e-06	7.896356e+01	3.252594e+00
1.076065653589692e-06	7.897565e+01	3.252504e+00
1.078196003305681e-06	7.898902e+01	3.252401e+00
1.079755179719405e-06	7.899867e+01	3.252325e+00
1.080725865868793e-06	7.900464e+01	3.252277e+00
1.081438528116500e-06	7.900899e+01	3.252241e+00
1.081927225516920e-06	7.901189e+01	3.252217e+00
1.082366833625859e-06	7.901446e+01	3.252194e+00
1.082836118651035e-06	7.901717e+01	3.252171e+00
1.083498367534328e-06	7.902096e+01	3.252137e+00
1.084583946040290e-06	7.902708e+01	3.252081e+00
1.085707850003408e-06	7.903333e+01	3.252022e+00
1.086788436330191e-06	7.903922e+01	3.251965e+00
1.087787132948428e-06	7.904459e+01	3.251911e+00
1.088815623984763e-06	7.905003e+01	3.251854e+00
1.089838915606428e-06	7.905536e+01	3.251797e+00
1.090884592368507e-06	7.906071e+01	3.251737e+00
1.091912137011023e-06	7.906587e+01	3.251676e+00
1.092950027435386e-06	7.907095e+01	3.251612e+00
1.093977331494567e-06	7.907581e+01	3.251546e+00
1.095014224201539e-06	7.908046e+01	3.251477e+00
1.096043838890947e-06	7.908469e+01	3.251404e+00
1.097079637310546e-06	7.908825e+01	3.251327e+00
1.098110047099495e-06	7.909061e+01	3.251245e+00
1.099144890287194e-06	7.909116e+01	3.251156e+00
1.100176032230765e-06	7.908916e+01	3.251062e+00
1.101210314453458e-06	7.908376e+01	3.250962e+00
1.102241963695900e-06	7.907456e+01	3.250856e+00
1.102706732680817e-06	7.906860e+01	3.250807e+00
1.102956408852886e-06	7.906448e+01	3.250780e+00
1.103197609392500e-06	7.905990e+01	3.250754e+00
1.103384795653942e-06	7.905606e+01	3.250733e+00
1.103567535738599e-06	7.905207e+01	3.250713e+00
1.103848435165028e-06	7.904552e+01	3.250681e+00
1.104349387276702e-06	7.903278e+01	3.250624e+00
1.105039713676684e-06	7.901269e+01	3.250545e+00
1.106177691078669e-06	7.897253e+01	3.250410e+00
1.107270224344714e-06	7.891956e+01	3.250277e+00
1.108444462130961e-06	7.882508e+01	3.250130e+00
1.109117565979155e-06	7.866725e+01	3.250044e+00
1.109555185465245e-06	7.839223e+01	3.249986e+00
1.109713670109941e-06	7.819145e+01	3.249965e+00
1.109801427322062e-06	7.802626e+01	3.249953e+00
1.109885376005573e-06	7.782816e+01	3.249942e+00
1.110053273372596e-06	7.733553e+01	3.249918e+00
1.110356562982482e-06	7.616390e+01	3.249874e+00
1.110963142202253e-06	7.300815e+01	3.249784e+00
1.111897668274040e-06	6.675867e+01	3.249637e+00
1.113162150662728e-06	5.691208e+01	3.249430e+00
1.114809557720605e-06	4.397905e+01	3.249152e+00
1.116925350574516e-06	2.986286e+01	3.248795e+00
1.119444124972197e-06	1.800711e+01	3.248391e+00
1.122238186525031e-06	1.015878e+01	3.247983e+00
1.124333693733549e-06	7.257387e+00	3.247717e+00
1.126666409768815e-06	6.089598e+00	3.247463e+00
1.127666409768815e-06	6.062186e+00	3.247367e+00
1.128000000000000e-06	6.151512e+00	3.247338e+00
1.128332819537630e-06	6.295722e+00	3.247311e+00
1.129000000000000e-06	6.648058e+00	3.247258e+00
1.129142857142857e-06	6.743966e+00	3.247247e+00
1.129285714285714e-06	6.845861e+00	3.247237e+00
1.129428571428571e-06	6.953745e+00	3.247226e+00
1.129571428571428e-06	7.067616e+00	3.247216e+00
1.129714285714286e-06	7.187474e+00	3.247206e+00
1.129857142857143e-06	7.313321e+00	3.247196e+00
1.130000000000000e-06	7.445156e+00	3.247186e+00
1.130329383988406e-06	7.778716e+00	3.247164e+00
1.130669393266761e-06	8.165838e+00	3.247143e+00
1.131349411823471e-06	9.048353e+00	3.247102e+00
1.132272050334003e-06	1.046788e+01	3.247050e+00
1.133217998465004e-06	1.223312e+01	3.247000e+00
1.134220043891160e-06	1.455061e+01	3.246951e+00
1.136224134743473e-06	2.000080e+01	3.246852e+00
1.137052016258996e-06	2.250749e+01	3.246806e+00
1.137546739081529e-06	2.410420e+01	3.246771e+00
1.137745915714466e-06	2.475692e+01	3.246754e+00
1.137887949046381e-06	2.522493e+01	3.246742e+00
1.137975276065128e-06	2.551331e+01	3.246734e+00
1.138021801836681e-06	2.566715e+01	3.246730e+00
1.138077797210787e-06	2.585245e+01	3.246725e+00
1.138116809944454e-06	2.598161e+01	3.246722e+00
1.138171110536345e-06	2.616148e+01	3.246717e+00
1.138231047175440e-06	2.636012e+01	3.246712e+00
1.138301802281741e-06	2.659474e+01	3.246706e+00
1.138383282036683e-06	2.686504e+01	3.246699e+00
1.138490503289610e-06	2.722083e+01	3.246690e+00
1.138605577214152e-06	2.760265e+01	3.246680e+00
1.139051545100845e-06	2.907972e+01	3.246640e+00
1.139370623765202e-06	3.012841e+01	3.246612e+00
1.139956562829453e-06	3.201322e+01	3.246559e+00
1.141128440957956e-06	3.556971e+01	3.246452e+00
1.142669699616300e-06	3.954022e+01	3.246305e+00
1.145055380307302e-06	4.437962e+01	3.246069e+00
1.145419263700631e-06	4.488484e+01	3.246032e+00
1.146147030487288e-06	4.553927e+01	3.245956e+00
1.146328972183953e-06	4.566739e+01	3.245937e+00
1.146374457608119e-06	4.569285e+01	3.245932e+00
1.146465428456451e-06	4.574215e+01	3.245923e+00
1.146488171168534e-06	4.575449e+01	3.245920e+00
1.146493856846555e-06	4.575766e+01	3.245919e+00
1.146505228202597e-06	4.576434e+01	3.245918e+00
1.146527970914680e-06	4.577905e+01	3.245916e+00
1.146573456338846e-06	4.581188e+01	3.245911e+00
1.146664427187178e-06	4.588100e+01	3.245901e+00
1.146846368883842e-06	4.601381e+01	3.245882e+00
1.147108392453764e-06	4.616846e+01	3.245854e+00
1.147587593118583e-06	4.632526e+01	3.245802e+00
1.147983885600034e-06	4.610544e+01	3.245758e+00
1.148334804454855e-06	4.500896e+01	3.245719e+00
1.148761876593289e-06	4.224235e+01	3.245672e+00
1.149059239660489e-06	3.960637e+01	3.245639e+00
1.149364351414455e-06	3.662457e+01	3.245605e+00
1.149698398507698e-06	3.348573e+01	3.245568e+00
1.150366319735822e-06	2.797179e+01	3.245494e+00
